Products & Services,,,,,,
Products,,,,,,
Name,Subitems,Price,Description,URL,SKU,Type
Graphic Design,,150,per hour,,,Service
Website Updates,,150,per hour,,,Service
Website Design & Development,,1500,"Custom Design, Backend Setup (Dashboard, & Login), 404, Privacy Policy, Sitemap",,,Service
Cadet Website Plan (Monthly),,199,"5 Pages + 1 contact forms, 24 month term + $500 setup fee",,,Service
Navigator Website Plan (Monthly),,299,"10 Pages + 2 contact forms, 24 month term  + $500 setup fee",,,Service
Commander Website Plan (Monthly),,475,"15 Pages + 3 contact forms, 24 month term  + $500 setup fee",,,Service
Website Start Up Fee,,500,One-time Setup Fee,,,
Care Plan,,69,"Annual Domain Registration, Shared Hosting, Daily Backup, Security Plugins & Scans, Broken Link Checks, Up-time Monitoring, Platform & Plugin Updates, Theme Updates, Google Analytics, ReCaptcha / Turnstile, Askimet Spam Protection, Monthly Reporting",,,Service
Pages,,500,Single Page,,,Service
Posts,,500,Single Post / Article,,,Service
Contact Forms,,250,"Form, Email Notifications & Confirmation Page Setup",,,Service
Blog (Category),,500,Single Category Template + Single Post Template,,,Service
E-Commerce Setup,,1500,"WooCommerce Shop Integration (Shop Page, Checkout, Cart, My Account, Orders, Downloads)",,,Service
Shop Products,,250,Single Product,,,Service
Local Listings (Aggressive),,150,25 Directory Listings & Management + 25 Annually (Up to 75 total) + Data Aggregator Submissions,,,Service
SEO Plan (Basic),,750,"Annual Content Calendar - (1) Page Per Month (Page or Article) - Includes content creation, installation and optimization + Technical Optimization",,,Service
SEO Plan (Aggressive),,1250,"Annual Content Calendar - (2) Pages Per Month (Page or Article) - Includes content creation, installation and optimization + Technical SEO - Backlink Building (2)",,,Service
Google Advertising (Basic),,500,(1) Search Campaign + (1-3) Ads - $500/mo Minimum Ad Spend Budget Required,,,Service
Google Advertising (Aggressive),,1000,"Performance Max Campaign - Includes Search & Display - $1,500/mo Minimum Ad Spend Budget Required",,,Service
Social Media Management (Basic),,500,"Monthly Content Calendar - (1) Post Per Week - Page Optimization - Comment Monitoring - Platforms Include: Facebook, Instagram, LinkedIN & Google Business",,,Service
Social Media Management (Aggressive),,1000,"Monthly Content Calendar - (3) Posts Per Week - Page Optimization - Comment Monitoring - Platforms Include: Facebook, Instagram, LinkedIN & Google Business",,,Service
